language,accuracy,precision,recall,f1_score,num_samples,llm_name
de,0.5529411764705883,0.5571944444444444,0.5529411764705883,0.5477404244607739,170,CohereLabs/aya-23-8B
en,0.49411764705882355,0.490534055316664,0.49411764705882355,0.487170237236928,170,CohereLabs/aya-23-8B
es,0.4764705882352941,0.4736536536536537,0.4764705882352941,0.45126889975775686,170,CohereLabs/aya-23-8B
fr,0.40588235294117647,0.40564124383930783,0.40588235294117647,0.31314645020957405,170,CohereLabs/aya-23-8B
ja,0.29411764705882354,0.278911935522105,0.29411764705882354,0.2541199751700808,170,CohereLabs/aya-23-8B
zh,0.3588235294117647,0.36220263728318214,0.3588235294117647,0.33622714192889636,170,CohereLabs/aya-23-8B
