language,accuracy,precision,recall,f1_score
de,0.4470588235294118,0.46265891675374426,0.4470588235294118,0.40602689236229605
en,0.49411764705882355,0.5028626282209939,0.49411764705882355,0.4786667055486163
es,0.3588235294117647,0.38662997903563945,0.3588235294117647,0.2731444625082
fr,0.35294117647058826,0.3127658996282888,0.35294117647058826,0.27999138116785177
ja,0.36470588235294116,0.38342293365549185,0.36470588235294116,0.35817960972193646
zh,0.35294117647058826,0.27950770355994226,0.35294117647058826,0.30647646264983724
