language,accuracy,precision,recall,f1_score,num_samples,llm_name
de,0.47058823529411764,0.4834501303780965,0.47058823529411764,0.3535281385281385,170,Qwen/Qwen2.5-3B
en,0.5764705882352941,0.5823236567354214,0.5764705882352941,0.5390523914336575,170,Qwen/Qwen2.5-3B
es,0.38823529411764707,0.2543265723041004,0.38823529411764707,0.23972984537811237,170,Qwen/Qwen2.5-3B
fr,0.3764705882352941,0.22234299516908212,0.3764705882352941,0.2293792444735841,170,Qwen/Qwen2.5-3B
ja,0.47058823529411764,0.5211940431500209,0.47058823529411764,0.44549517817834305,170,Qwen/Qwen2.5-3B
zh,0.4647058823529412,0.43642156862745096,0.4647058823529412,0.4043357300172221,170,Qwen/Qwen2.5-3B
