language,accuracy,precision,recall,f1_score,num_samples,llm_name
de,0.18823529411764706,0.07730506751851314,0.18823529411764706,0.10905125408942203,170,TinyLlama/TinyLlama-1.1B-Chat-v1.0
en,0.27647058823529413,0.2675444096133751,0.27647058823529413,0.2277675489067894,170,TinyLlama/TinyLlama-1.1B-Chat-v1.0
es,0.2235294117647059,0.24223602484472048,0.2235294117647059,0.11184885290148447,170,TinyLlama/TinyLlama-1.1B-Chat-v1.0
fr,0.25882352941176473,0.41030496705724545,0.25882352941176473,0.23993495324764672,170,TinyLlama/TinyLlama-1.1B-Chat-v1.0
ja,0.23529411764705882,0.09727463312368974,0.23529411764705882,0.13324198827738448,170,TinyLlama/TinyLlama-1.1B-Chat-v1.0
zh,0.2,0.19346205657835652,0.2,0.1266694090223502,170,TinyLlama/TinyLlama-1.1B-Chat-v1.0
